observation_id,species_common,species_scientific,observed_on,created_at,latitude,longitude,place_guess,quality_grade,obscured,positional_accuracy,uri
391259821,Bald Eagle,Haliaeetus leucocephalus,2026-08-14,2026-08-14T19:34:06-04:00,39.0307487141,-77.4986433283,"Ashburn, VA, USA",research,False,16.0,https://www.inaturalist.org/observations/391259821
390261327,Bald Eagle,Haliaeetus leucocephalus,2026-08-09,2026-08-11T08:18:26-04:00,38.9824588004,-77.6519373276,"Loudoun County, VA, USA",research,False,32.0,https://www.inaturalist.org/observations/390261327
390261326,Bald Eagle,Haliaeetus leucocephalus,2026-08-09,2026-08-11T08:18:26-04:00,38.9825901164,-77.6519665222,"Loudoun County, VA, USA",research,False,22.0,https://www.inaturalist.org/observations/390261326
388568398,Bald Eagle,Haliaeetus leucocephalus,2026-08-05,2026-08-05T16:33:00-04:00,39.0622646207,-77.3829551786,"Cascades, VA, USA",research,False,567.0,https://www.inaturalist.org/observations/388568398
388535440,Bald Eagle,Haliaeetus leucocephalus,2026-08-05,2026-08-05T14:25:55-04:00,39.0339583027,-77.4529549838,"Ashburn, VA, USA",research,False,8.0,https://www.inaturalist.org/observations/388535440
387294821,Bald Eagle,Haliaeetus leucocephalus,2026-08-01,2026-08-01T15:53:56-04:00,39.0304842358,-77.4984654453,"Ashburn, VA, USA",research,False,38.0,https://www.inaturalist.org/observations/387294821
387294820,Bald Eagle,Haliaeetus leucocephalus,2026-08-01,2026-08-01T15:53:55-04:00,39.0304842358,-77.4984654453,"Ashburn, VA, USA",research,False,38.0,https://www.inaturalist.org/observations/387294820
387209131,Bald Eagle,Haliaeetus leucocephalus,2026-08-01,2026-08-01T11:25:52-04:00,38.9818481217,-77.7710687881,"Loudoun County, US-VA, US",casual,False,882.0,https://www.inaturalist.org/observations/387209131
380929461,Bald Eagle,Haliaeetus leucocephalus,2026-07-11,2026-07-12T23:55:42-04:00,39.0302877699,-77.6005493231,"The Woods Rd, Leesburg, VA, US",research,False,134.0,https://www.inaturalist.org/observations/380929461
373652555,Bald Eagle,Haliaeetus leucocephalus,2026-06-20,2026-06-20T14:27:46-04:00,39.0321496072,-77.4561134284,"Ashburn, VA, USA",research,False,8.0,https://www.inaturalist.org/observations/373652555
361017300,Bald Eagle,Haliaeetus leucocephalus,2026-05-12,2026-05-12T19:42:52-04:00,39.0249415041,-77.6002763958,"Loudoun County, VA, USA",research,False,413.0,https://www.inaturalist.org/observations/361017300
