observation_id,species_common,species_scientific,observed_on,created_at,latitude,longitude,place_guess,quality_grade,obscured,positional_accuracy,uri
386364485,Common Snapping Turtle,Chelydra serpentina,2026-07-29,2026-07-29T16:12:29-04:00,38.9627579158,-77.5155874252,"Winterday Dr, Sterling, VA, US",research,False,4.0,https://www.inaturalist.org/observations/386364485
382394531,Common Snapping Turtle,Chelydra serpentina,2026-07-17,2026-07-17T17:20:23-04:00,38.9700871653,-77.5469000757,"Endeavor Dr, Aldie, VA, US",research,False,27.0,https://www.inaturalist.org/observations/382394531
380890664,Common Snapping Turtle,Chelydra serpentina,2026-07-12,2026-07-12T21:09:45-04:00,39.1154523,-77.5645323,"Leesburg, VA, USA",research,False,5515.0,https://www.inaturalist.org/observations/380890664
379887107,Common Snapping Turtle,Chelydra serpentina,2026-07-07,2026-07-09T23:02:56-04:00,39.048648347,-77.2723424028,"Virginia, US",research,True,3.0,https://www.inaturalist.org/observations/379887107
377486521,Common Snapping Turtle,Chelydra serpentina,2020-08-13,2026-07-02T13:17:12-04:00,39.0238443734,-77.4996208491,"Ashburn Run Pl, Ashburn, VA, US",research,False,63.0,https://www.inaturalist.org/observations/377486521
377469343,Common Snapping Turtle,Chelydra serpentina,2026-06-25,2026-07-02T12:11:10-04:00,39.0238484829,-77.4997258178,"Ashburn Run Pl, Ashburn, VA, US",research,False,122.0,https://www.inaturalist.org/observations/377469343
374492779,Common Snapping Turtle,Chelydra serpentina,2026-06-07,2026-06-22T22:53:51-04:00,39.1657861684,-77.3705332832,"Virginia, US",research,True,4.0,https://www.inaturalist.org/observations/374492779
373916763,Common Snapping Turtle,Chelydra serpentina,2026-05-27,2026-06-21T09:18:12-04:00,39.1154523,-77.5645323,"Leesburg, VA, USA",research,False,5515.0,https://www.inaturalist.org/observations/373916763
373531817,Common Snapping Turtle,Chelydra serpentina,2026-06-14,2026-06-20T08:13:14-04:00,39.026825,-77.60063,"Leesburg, VA, US",research,False,3.0,https://www.inaturalist.org/observations/373531817
370806619,Common Snapping Turtle,Chelydra serpentina,2026-06-11,2026-06-11T22:55:02-04:00,39.0105861167,-77.5009383333,"Broadlands South, Broadlands, VA, US",research,False,2.0,https://www.inaturalist.org/observations/370806619
370710745,Common Snapping Turtle,Chelydra serpentina,2026-06-11,2026-06-11T15:31:15-04:00,38.9064283804,-77.7624720168,"Virginia, US",research,True,79.0,https://www.inaturalist.org/observations/370710745
369504197,Common Snapping Turtle,Chelydra serpentina,2026-06-06,2026-06-07T18:07:58-04:00,39.1065979997,-77.7841952997,"Round Hill, VA 20141, USA",needs_id,False,,https://www.inaturalist.org/observations/369504197
368089209,Common Snapping Turtle,Chelydra serpentina,2026-06-03,2026-06-03T13:15:25-04:00,39.0105801306,-77.5008939154,"Mooreview Pkwy, Broadlands, VA, US",research,False,3.0,https://www.inaturalist.org/observations/368089209
367206252,Common Snapping Turtle,Chelydra serpentina,2026-05-31,2026-05-31T17:22:13-04:00,39.214955,-77.69155,"Legard Farm Rd, Hillsboro, VA, US",research,False,3.0,https://www.inaturalist.org/observations/367206252
